Date,D-mart Open,D-mart High, D-mart Low,D-mart Close,D-mart Adj Close,D-mart Volume,Reliance Open,Reliance High,Reliance Low,Reliance Close,Reliance Adj Close,Reliance Volume,,Drop down for visibility,,,,,,,,,,,,Date,D-mart Adj Close,Reliance Adj Close
20-12-2021,4669,4690,4552.25,4618.950195,4618.950195,310441,2317.850098,2317.850098,2247.100098,2277.350098,2270.51416,6611376,,D-mart Adj Close,,,,,,,,,,,,20-12-2021,4618.950195,2270.51416
21-12-2021,4612.5,4677,4571.049805,4587.399902,4587.399902,312536,2311.350098,2346,2292.199951,2311.25,2304.312256,5924071,,Reliance Adj Close,,,,,,,,,,,,21-12-2021,4587.399902,2304.312256
22-12-2021,4627.950195,4695.5,4587.399902,4655.850098,4655.850098,338380,2324.899902,2371.899902,2322,2366.100098,2358.997803,8149415,,Reliance,,,,,,,,,,,,22-12-2021,4655.850098,2358.997803
23-12-2021,4711.25,4711.25,4631.399902,4647.899902,4647.899902,204211,2374,2380,2358.050049,2365.25,2358.150146,4186912,,,,,,,,,,,,,,23-12-2021,4647.899902,2358.150146
24-12-2021,4674,4674,4615,4628.899902,4628.899902,122078,2370,2392,2337.550049,2372.800049,2365.677734,3639616,,,,,,,,,,,,,,24-12-2021,4628.899902,2365.677734
27-12-2021,4599,4680,4555.25,4668.649902,4668.649902,294366,2361.550049,2378,2348.100098,2370.25,2363.135254,1853948,,,,,,,,,,,,,,27-12-2021,4668.649902,2363.135254
28-12-2021,4680,4760.950195,4645,4721.950195,4721.950195,320963,2375.600098,2404.850098,2373.050049,2398.399902,2391.200684,2941883,,,,,,,,,,,,,,28-12-2021,4721.950195,2391.200684
29-12-2021,4739,4748.700195,4675,4683.950195,4683.950195,176720,2391,2419,2382.100098,2402.5,2395.28833,7118779,,,,,,,,,,,,,,29-12-2021,4683.950195,2395.28833
30-12-2021,4677.5,4699,4625,4639.350098,4639.350098,195753,2400,2404.949951,2345.600098,2359.100098,2352.018799,13537254,,,,,,,,,,,,,,30-12-2021,4639.350098,2352.018799
31-12-2021,4641,4692.75,4636,4671.450195,4671.450195,172788,2373,2383.899902,2360,2368.149902,2361.041504,4373768,,,,,,,,,,,,,,31-12-2021,4671.450195,2361.041504
03-01-2022,4770,4799,4701.200195,4711.5,4711.5,534384,2365,2407.949951,2363.550049,2403.850098,2396.634521,2502073,, ,,,,,,,,,,,,03-01-2022,4711.5,2396.634521
04-01-2022,4758.899902,4758.899902,4685,4726.950195,4726.950195,242287,2415.899902,2461,2404,2458.100098,2450.72168,5006225,,,,,,,,,,,,,,04-01-2022,4726.950195,2450.72168
05-01-2022,4725,4725,4646,4687.399902,4687.399902,287948,2462,2477,2432.949951,2469.600098,2462.187012,5373618,,,,,,,,,,,,,,05-01-2022,4687.399902,2462.187012
06-01-2022,4669.100098,4716,4642.649902,4705.649902,4705.649902,361505,2451.199951,2454,2409,2416.5,2409.246338,6667483,,,,,,,,,,,,,,06-01-2022,4705.649902,2409.246338
07-01-2022,4715,4748,4696.149902,4731.350098,4731.350098,301517,2430.949951,2458.050049,2411.550049,2436,2428.687988,6051239,,,,,,,,,,,,,,07-01-2022,4731.350098,2428.687988
10-01-2022,4784.899902,4784.899902,4620,4633.549805,4633.549805,1037618,2452,2457,2416.050049,2438,2430.681885,4267365,,,,,,,,,,,,,,10-01-2022,4633.549805,2430.681885
11-01-2022,4649,4654.899902,4499,4504.899902,4504.899902,791417,2436,2474.949951,2435,2455.550049,2448.179199,7478681,,,,,,,,,,,,,,11-01-2022,4504.899902,2448.179199
12-01-2022,4500,4500,4165.299805,4276.100098,4276.100098,2521043,2471.300049,2524.949951,2465,2521.100098,2513.532471,6830402,,,,,,,,,,,,,,12-01-2022,4276.100098,2513.532471
13-01-2022,4276,4354.450195,4221.600098,4254.600098,4254.600098,1090010,2521.25,2541,2508.399902,2535.300049,2527.689941,5471871,,,,,,,,,,,,,,13-01-2022,4254.600098,2527.689941
14-01-2022,4266,4344.450195,4256.149902,4322.700195,4322.700195,896929,2535,2567.300049,2525.850098,2539,2531.378662,9197773,,,,,,,,,,,,,,14-01-2022,4322.700195,2531.378662
17-01-2022,4365,4414,4290.450195,4400.5,4400.5,870335,2538,2565,2537,2552.25,2544.588867,3708822,,,,,,,,,,,,,,17-01-2022,4400.5,2544.588867
18-01-2022,4425,4500,4381,4441.149902,4441.149902,940894,2554.75,2562.350098,2515.75,2521.800049,2514.230469,2868235,,,,,,,,,,,,,,18-01-2022,4441.149902,2514.230469
19-01-2022,4459,4505,4365,4483.399902,4483.399902,579886,2530,2542,2509,2521.600098,2514.031006,4502155,,,,,,,,,,,,,,19-01-2022,4483.399902,2514.031006
